Title,Authors,Journal,Year,DOI,Source,Publications,Yes No
spatiotemporal changes in universal thermal climate index over south asia,"Kyaw, AK",ATMOSPHERIC RESEARCH,2023,10.1016/j.atmosres.2023.106838,WoS,7,1
cooling effect and heat index (hi) assessment on car cabin cooler powered by solar panel in parked car,"Setiyo, M",CASE STUDIES IN THERMAL ENGINEERING,2021,10.1016/j.csite.2021.101386,WoS,6,0
experimental study on the thermal performance of a battery thermal management system using heat pipes,"Mbulu, H",CASE STUDIES IN THERMAL ENGINEERING,2021,10.1016/j.csite.2021.101029,WoS,6,0
performance enhancement of photovoltaic modules with passive cooling multidirectional tapered fin heat sinks (mtfhs),"Razali, SN",CASE STUDIES IN THERMAL ENGINEERING,2023,10.1016/j.csite.2023.103400,WoS,6,0
thermal examination of renewable solar energy in parabolic trough solar collector utilizing maxwell nanofluid: a noble case study,"Jamshed, W",CASE STUDIES IN THERMAL ENGINEERING,2021,10.1016/j.csite.2021.101258,WoS,6,0
thermal humidity risk assessment in high-temperature environment of mines based on uncertainty measurement theory,"Shu, HM",CASE STUDIES IN THERMAL ENGINEERING,2023,10.1016/j.csite.2023.103401,WoS,6,0
improving the thermal efficiency of a solar flat plate collector using mwcnt-fe3o4/water hybrid nanofluids and ensemble machine learning,"Said, Z",CASE STUDIES IN THERMAL ENGINEERING,2022,10.1016/j.csite.2022.102448,WoS,6,0
"vulnerability of australia to heatwaves: a systematic review on influencing factors, impacts, and mitigation options","Adnan, MSG",ENVIRONMENTAL RESEARCH,2022,10.1016/j.envres.2022.113703,WoS,6,1
heat-health action planning in the who european region: status and policy implications,"Martinez, GS",ENVIRONMENTAL RESEARCH,2022,10.1016/j.envres.2022.113709,WoS,6,0
evaluating the effectiveness of labor protection policy on occupational injuries caused by extreme heat in a large subtropical city of china,"Su, YA",ENVIRONMENTAL RESEARCH,2020,10.1016/j.envres.2020.109532,WoS,6,0
"climate change impacts and disaster resilience among micro businesses in the tourism and hospitality sector: the case of kratie, cambodia","Ngin, C",ENVIRONMENTAL RESEARCH,2020,10.1016/j.envres.2020.109557,WoS,6,0
population management in an urban center using the dynamic integrated solution for an adequate atmospheric environmental quality,"Chai, N",ENVIRONMENTAL RESEARCH,2022,10.1016/j.envres.2021.112482,WoS,6,0
daily temperature effects on under-five mortality in a tropical climate country and the role of local characteristics,"Phung, VLH",ENVIRONMENTAL RESEARCH,2023,10.1016/j.envres.2022.114988,WoS,6,0
main and added effects of heatwaves on hospitalizations for mental and behavioral disorders in a tropical megacity of vietnam,"Dang, TN",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,2022,10.1007/s11356-022-19898-1,WoS,6,1
impacts of and adaptation to climate change on the oil palm in malaysia: a systematic review,"Abubakar, A",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,2021,10.1007/s11356-021-15890-3,WoS,6,0
"the protective effect of green space on heat-related respiratory hospitalization among children under 5 years of age in hanoi, vietnam","Nguyen, VT",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,2022,10.1007/s11356-022-21064-6,WoS,6,0
"the association between temperature and cause-specific mortality in the klang valley, malaysia","Yatim, ANM",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,2021,10.1007/s11356-021-14962-8,WoS,6,1
how temperature shocks impact energy poverty in vietnam: mediating role of financial development and environmental consideration,"Que, ND",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,2022,10.1007/s11356-022-19672-3,WoS,6,0
"the potential effects of temperature on outpatient visits: a case study in chiang mai, thailand","Chaichana, K",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,2021,10.1007/s11356-021-15512-y,WoS,6,0
urban ventilation assessment with improved vertical wind profile in high-density cities-investigations in nighttime extreme heat,"He, YY",BUILDING AND ENVIRONMENT,2022,10.1016/j.buildenv.2022.109018,WoS,5,0
application of gagge's energy balance model to determine humidity-dependent temperature thresholds for healthy adults using electric fans during heatwaves,"Tartarini, F",BUILDING AND ENVIRONMENT,2022,10.1016/j.buildenv.2021.108437,WoS,5,0
mitigating intensity of urban heat island by better understanding on urban morphology and anthropogenic heat dispersion,"Yuan, C",BUILDING AND ENVIRONMENT,2020,10.1016/j.buildenv.2020.106876,WoS,5,0
characteristic analysis and improvement methods of the indoor thermal environment in post-disaster temporary residential buildings: a systematic review,"Qin, MY",BUILDING AND ENVIRONMENT,2023,10.1016/j.buildenv.2023.110198,WoS,5,0
urban buoyancy-driven air flow and modelling method: a critical review,"Mei, SJ",BUILDING AND ENVIRONMENT,2022,10.1016/j.buildenv.2021.108708,WoS,5,0
heatwaves in peninsular malaysia: a spatiotemporal analysis,"Muhammad, MKI",SCIENTIFIC REPORTS,2024,10.1038/s41598-024-53960-x,WoS,5,1
extreme temperature increases the risk of stillbirth in the third trimester of pregnancy,"Yang, HY",SCIENTIFIC REPORTS,2022,10.1038/s41598-022-23155-3,WoS,5,0
genome-wide analysis of the <i>hsp101/clpb</i> gene family for heat tolerance in hexaploid wheat,"Erdayani, E",SCIENTIFIC REPORTS,2020,10.1038/s41598-020-60673-4,WoS,5,0
characterizing the highest tropical cyclone frequency in the western north pacific since 1984,"Basconcillo, J",SCIENTIFIC REPORTS,2021,10.1038/s41598-021-93824-2,WoS,5,0
a unifying model to estimate the effect of heat stress in the human innate immunity during physical activities,"Presbitero, A",SCIENTIFIC REPORTS,2021,10.1038/s41598-021-96191-0,WoS,5,0
effect of the near-future climate change under rcp8.5 on the heat stress and associated work performance in thailand,"Amnuaylojaroen, T",ATMOSPHERE,2022,10.3390/atmos13020325,WoS,4,0
"climate trends and extremes in the indus river basin, pakistan: implications for agricultural production","Heureux, AMC",ATMOSPHERE,2022,10.3390/atmos13030378,WoS,4,0
future changes in high and low flows under the impacts of climate and land use changes in the jiulong river basin of southeast china,"Yang, SY",ATMOSPHERE,2022,10.3390/atmos13020150,WoS,4,0
editorial: opening the black box of kelps: response of early life stages to anthropogenic stressors,"Martins, N",FRONTIERS IN MARINE SCIENCE,2023,10.3389/fmars.2022.1133857,WoS,4,0
summer heatwave impacts on the european kelp <i>saccharina latissima</i> across its latitudinal distribution gradient,"Diehl, N",FRONTIERS IN MARINE SCIENCE,2021,10.3389/fmars.2021.695821,WoS,4,0
extreme sea-surface cooling induced by eddy heat advection during tropical cyclone in the north western pacific ocean,"Qiu, CH",FRONTIERS IN MARINE SCIENCE,2021,10.3389/fmars.2021.726306,WoS,4,0
"spatial variation in thermal stress experienced by barnacles on rocky shores: the interplay between geographic variation, tidal cycles and microhabitat temperatures","Wang, HY",FRONTIERS IN MARINE SCIENCE,2020,10.3389/fmars.2020.00553,WoS,4,0
analysis of heatwaves based on the universal thermal climate index and apparent temperature over mainland southeast asia,"Liu, LLJ",INTERNATIONAL JOURNAL OF BIOMETEOROLOGY,2023,10.1007/s00484-023-02562-9,WoS,4,1
spatial patterns of health vulnerability to heatwaves in vietnam,"Tran, DN",INTERNATIONAL JOURNAL OF BIOMETEOROLOGY,2020,10.1007/s00484-020-01876-2,WoS,4,0
public transit infrastructure and heat perceptions in hot and dry climates,"Dzyuban, Y",INTERNATIONAL JOURNAL OF BIOMETEOROLOGY,2022,10.1007/s00484-021-02074-4,WoS,4,0
"subseasonal prediction for bloom dates of tart cherries in utah and michigan, usa: merging phenological models with cfsv2 forecast","Promchote, P",INTERNATIONAL JOURNAL OF BIOMETEOROLOGY,2020,10.1007/s00484-020-02005-9,WoS,4,0
the impact of heatwaves on mortality and morbidity and the associated vulnerability factors: a systematic review,"Arsad, FS",INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,2022,10.3390/ijerph192316356,WoS,4,0
"the malay-version knowledge, risk perception, attitude and practice questionnaire on heatwaves: development and construct validation","Arsad, FS",INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,2022,10.3390/ijerph19042279,WoS,4,0
fundamental concepts of human thermoregulation and adaptation to heat: a review in the context of global warming,"Lim, CL",INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,2020,10.3390/ijerph17217795,WoS,4,0
the mortality effect of apparent temperature: a multi-city study in asia,"Cao, R",INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,2021,10.3390/ijerph18094675,WoS,4,0
modeling the influences of layouts of residential townhouses and tree-planting patterns on outdoor thermal comfort in bangkok suburb,"Srivanit, M",JOURNAL OF BUILDING ENGINEERING,2020,10.1016/j.jobe.2020.101262,WoS,4,0
optimizing building energy performance predictions: a comparative study of artificial intelligence models,"Alawi, OA",JOURNAL OF BUILDING ENGINEERING,2024,10.1016/j.jobe.2024.109247,WoS,4,0
interaction of silica fume on flexural properties of 10 mm-thickness geopolymers based on fly ash and ladle furnace slag under the thermal conditions,"Yong-Sing, N",JOURNAL OF BUILDING ENGINEERING,2023,10.1016/j.jobe.2023.106331,WoS,4,0
thermal analysis of sustainable and micro-filler basalt reinforced polymer biocomposites for lightweight applications,"Jagadeesh, P",JOURNAL OF BUILDING ENGINEERING,2023,10.1016/j.jobe.2023.107869,WoS,4,0
laser-assisted high speed machining of 316 stainless steel: the effect of water-soluble sago starch based cutting fluid on surface roughness and tool wear,"Yasmin, F",MATERIALS,2021,10.3390/ma14051311,WoS,4,0
effect of ranque-hilsch vortex tube cooling to enhance the surface-topography and tool-wear in sustainable turning of al-5.6zn-2.5mg-1.6cu-0.23cr-t6 aerospace alloy,"Singh, J",MATERIALS,2022,10.3390/ma15165681,WoS,4,0
concrete performance attenuation of mix nano-sio<sub>2</sub> and nano-caco<sub>3</sub> under high temperature: a comprehensive review,"Syamsunur, D",MATERIALS,2022,10.3390/ma15207073,WoS,4,0
interaction of geopolymer filler and alkali molarity concentration towards the fire properties of glass-reinforced epoxy composites fabricated using filament winding technique,"Abu Hashim, MF",MATERIALS,2022,10.3390/ma15186495,WoS,4,0
prediction of heat waves using meteorological variables in diverse regions of iran with advanced machine learning models,"Asadollah, SBHS",STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,2022,10.1007/s00477-021-02103-z,WoS,4,0
prediction of heat waves over pakistan using support vector machine algorithm in the context of climate change,"Khan, N",STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,2021,10.1007/s00477-020-01963-1,WoS,4,0
spatiotemporal changes in hourly wet bulb globe temperature in peninsular malaysia,"Houmsi, MR",STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,2023,10.1007/s00477-023-02396-2,WoS,4,1
spatiotemporal variability of drought and affected croplands in the horn of africa,"Alasow, AA",STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,2024,10.1007/s00477-023-02575-1,WoS,4,0
spatiotemporal changes in population exposure to heat stress in south asia,"Kyaw, AK",SUSTAINABLE CITIES AND SOCIETY,2023,10.1016/j.scs.2023.104544,WoS,4,0
how do disparate urbanization and climate change imprint on urban thermal variations? a comparison between two dynamic cities in southeast asia,"Nguyen, CT",SUSTAINABLE CITIES AND SOCIETY,2022,10.1016/j.scs.2022.103882,WoS,4,0
impact of urban canyon geometries on outdoor thermal comfort in central business districts,"Deng, JY",SUSTAINABLE CITIES AND SOCIETY,2020,10.1016/j.scs.2019.101966,WoS,4,0
a review of traditional multistage roofs design and performance in vernacular buildings in myanmar,"Zune, M",SUSTAINABLE CITIES AND SOCIETY,2020,10.1016/j.scs.2020.102240,WoS,4,0
detailed trend analysis of extreme climate indices in the upper geum river basin,"Felix, ML",WATER,2021,10.3390/w13223171,WoS,4,0
"assessment of hydrological response to climatic variables over the hindu kush mountains, south asia","Masood, MU",WATER,2023,10.3390/w15203606,WoS,4,0
"effects of extreme-ambient temperatures in silver barb (<i>barbonymus gonionotus</i>): metabolic, hemato-biochemical responses, enzymatic activity and gill histomorphology","Mazumder, SK",WATER,2024,10.3390/w16020292,WoS,4,0
impact of el nino on oil palm yield in malaysia,"Khor, JF",AGRONOMY-BASEL,2021,10.3390/agronomy11112189,WoS,3,0
analysis of weed communities in solar farms located in tropical areas-the case of malaysia,"Ya'acob, ME",AGRONOMY-BASEL,2022,10.3390/agronomy12123073,WoS,3,0
statistical analysis versus the m5p machine learning algorithm to analyze the yield of winter wheat in a long-term fertilizer experiment,"Thai, TH",AGRONOMY-BASEL,2020,10.3390/agronomy10111779,WoS,3,0
heatwaves in southeast asia and their changes in a warmer world,"Dong, ZZ",EARTHS FUTURE,2021,10.1029/2021EF001992,WoS,3,1
integrated assessment of urban overheating impacts on human life,"Nazarian, N",EARTHS FUTURE,2022,10.1029/2022EF002682,WoS,3,0
the climatic impact-driver framework for assessment of risk-relevant climate information,"Ruane, AC",EARTHS FUTURE,2022,10.1029/2022EF002803,WoS,3,0
heat stress responses and population genetics of the kelp<i>laminaria digitata</i>(phaeophyceae) across latitudes reveal differentiation among north atlantic populations,"Liesner, D",ECOLOGY AND EVOLUTION,2020,10.1002/ece3.6569,WoS,3,0
behavioral repertoire of high-shore littorinid snails reveals novel adaptations to an extreme environment,"Ng, TPT",ECOLOGY AND EVOLUTION,2021,10.1002/ece3.7578,WoS,3,0
global increases in compound flood-hot extreme hazards under climate warming,"Gu, L",GEOPHYSICAL RESEARCH LETTERS,2022,10.1029/2022GL097726,WoS,3,0
heat wave trends in southeast asia: comparison of results from observation and reanalysis data,"Li, XX",GEOPHYSICAL RESEARCH LETTERS,2022,10.1029/2021GL097151,WoS,3,1
urban water storage capacity inferred from observed evapotranspiration recession,"Jongen, HJ",GEOPHYSICAL RESEARCH LETTERS,2022,10.1029/2021GL096069,WoS,3,0
manufacturing motor core lamination from thin non-oriented silicon steel sheet direct by pulsed laser cutting using multi-quality optimized process parameters,"Nguyen, HT",INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,2024,10.1007/s00170-024-13661-1,WoS,3,0
artificial intelligence-based modeling and optimization of heat-affected zone and magnetic property in pulsed laser cutting of thin nonoriented silicon steel,"Nguyen, TH",INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,2021,10.1007/s00170-021-06847-4,WoS,3,0
effects of submerged convective cooling in the turning of az31 magnesium alloy for tool temperature and wear improvement,"Zakaria, MS",INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,2022,10.1007/s00170-022-08985-9,WoS,3,0
heat and wheat: adaptation strategies with respect to heat shock proteins and antioxidant potential; an era of climate change,"Abasi, F",INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES,2024,10.1016/j.ijbiomac.2023.128379,WoS,3,0
"the extraction of buckwheat protein and its interaction with kappa-carrageenan: textural, rheological, microstructural, and chemical properties","Hua, XY",INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES,2024,10.1016/j.ijbiomac.2024.129427,WoS,3,0
preparation and characterization of lignin/nano graphene oxide/styrene butadiene rubber composite for automobile tyre application,"Khan, A",INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES,2022,10.1016/j.ijbiomac.2022.02.146,WoS,3,0
economic valuation of temperature-related mortality attributed to urban heat islands in european cities,"Huang, WTK",NATURE COMMUNICATIONS,2023,10.1038/s41467-023-43135-z,WoS,3,0
inelastic phonon transport across atomically sharp metal/semiconductor interfaces,"Li, QS",NATURE COMMUNICATIONS,2022,10.1038/s41467-022-32600-w,WoS,3,0
a solution-processable and ultra-permeable conjugated microporous thermoset for selective hydrogen separation,"Liu, W",NATURE COMMUNICATIONS,2020,10.1038/s41467-020-15503-6,WoS,3,0
generalized first-principles method to study near-field heat transfer mediated by coulomb interaction,"Zhu, T",PHYSICAL REVIEW B,2021,10.1103/PhysRevB.104.L121409,WoS,3,0
theoretical predictions of melting behaviors of hcp iron up to 4000 gpa,"Cuong, TD",PHYSICAL REVIEW B,2022,10.1103/PhysRevB.106.094103,WoS,3,0
reconstructing the phase diagram of iron in the terapascal region via the statistical moment method,"Cuong, TD",PHYSICAL REVIEW B,2023,10.1103/PhysRevB.108.134111,WoS,3,0
climate change-induced urban heat island trend projection and land surface temperature: a case study of thailand?s bangkok metropolitan,"Thanvisitthpon, N",URBAN CLIMATE,2023,10.1016/j.uclim.2023.101484,WoS,3,1
intensification of sub-daily rainfall extremes in a low-rise urban area,"Huang, J",URBAN CLIMATE,2022,10.1016/j.uclim.2022.101124,WoS,3,0
investigation of the decadal unplanned urban expansion influenced surface urban heat island study in the mosul metropolis,"Abed, SA",URBAN CLIMATE,2024,10.1016/j.uclim.2024.101845,WoS,3,0
agile solar roof tile hvac,"Sinha, S",26TH REGIONAL SYMPOSIUM ON CHEMICAL ENGINEERING (RSCE 2019),2020,10.1088/1757-899X/778/1/012103,WoS,2,0
parametric and optimization studies for biochar production from municipal solid wastes (msw) via pyrolysis,"Castillo, KJT",26TH REGIONAL SYMPOSIUM ON CHEMICAL ENGINEERING (RSCE 2019),2020,10.1088/1757-899X/778/1/012078,WoS,2,0
stereolithography of 3d sustainable metal electrodes towards high-performance nickel iron battery,"Li, C",ADVANCED FUNCTIONAL MATERIALS,2022,10.1002/adfm.202205317,WoS,2,0
"rugged soft robots using tough, stretchable, and self-healable adhesive elastomers","Tan, MWM",ADVANCED FUNCTIONAL MATERIALS,2021,10.1002/adfm.202103097,WoS,2,0
spatiotemporal variability of hot days in association with the large-scale atmospheric drivers over vietnam,"Huu, CT",ADVANCES IN METEOROLOGY,2023,10.1155/2023/6612199,WoS,2,1
perspective on the era of global boiling: a future beyond global warming,"Amnuaylojaroen, T",ADVANCES IN METEOROLOGY,2023,10.1155/2023/5580606,WoS,2,1
coordinated preparation and recovery of a post-disaster multi-energy distribution system considering thermal inertia and diverse uncertainties,"Li, ZM",APPLIED ENERGY,2023,10.1016/j.apenergy.2023.120736,WoS,2,0
demand-side flexibility and demand-side bidding for flexible loads in air-conditioned buildings,"Utama, C",APPLIED ENERGY,2021,10.1016/j.apenergy.2020.116418,WoS,2,0
integrating remote sensing and ground-based data for enhanced spatial-temporal analysis of heatwaves: a machine learning approach,"Chongtaku, T",APPLIED SCIENCES-BASEL,2024,10.3390/app14103969,WoS,2,0
energy performance of a high-rise residential building using fibre-reinforced structural lightweight aggregate concrete,"Muda, ZC",APPLIED SCIENCES-BASEL,2020,10.3390/app10134489,WoS,2,0
a state-of-the art review on advancing battery thermal management systems for fast-charging,"Thakur, AK",APPLIED THERMAL ENGINEERING,2023,10.1016/j.applthermaleng.2023.120303,WoS,2,0
integrating phase-change thermal storage into the indirect dry-cooling system of a thermal power unit and optimal operation strategy,"Wang, BG",APPLIED THERMAL ENGINEERING,2024,10.1016/j.applthermaleng.2024.123499,WoS,2,0
how susceptible are rainbow trout and brown trout to infection with tilapia lake virus at increased water temperature - is there any potential for climate change driven host jump?,"Adamek, M",AQUACULTURE,2023,10.1016/j.aquaculture.2023.739469,WoS,2,0
"chronic heat stress as a predisposing factor in summer mortality of mussels, <i>perna canaliculus</i>","Ericson, JA",AQUACULTURE,2023,10.1016/j.aquaculture.2022.738986,WoS,2,0
"extreme temperature differently alters the effects of dietary vitamin c on the growth, immunity and pathogen resistance of waigieu seaperch, <i>psammoperca waigiensis</i>","Le, MH",AQUACULTURE RESEARCH,2021,10.1111/are.15408,WoS,2,0
the impact of humidity on australia's operational heatwave services,"Nairn, J",CLIMATE SERVICES,2022,10.1016/j.cliser.2022.100315,WoS,2,0
fostering anticipatory humanitarian actions for heatwaves in hanoi through forecast-based financing,"Dinnissen, S",CLIMATE SERVICES,2020,10.1016/j.cliser.2020.100171,WoS,2,0
"live slow, die old: larval propagation of slow-growing, stress-tolerant corals for reef restoration","Guest, J",CORAL REEFS,2023,10.1007/s00338-023-02440-1,WoS,2,0
the contribution of stress-tolerant endosymbiotic dinoflagellate <i>durusdinium</i> to <i>pocillopora acuta</i> survival in a highly urbanized reef system,"Poquita-Du, RC",CORAL REEFS,2020,10.1007/s00338-020-01902-0,WoS,2,0
