Title,Authors,Journal,Year,DOI,Source,Publications,Yes No,Abstract YN,
extreme weather and climate events and occupational health in thailand,"Langkulsen, U",EXTREME WEATHER EVENTS AND HUMAN HEALTH: INTERNATIONAL CASE STUDIES,2020,10.1007/978-3-030-23773-8_15,WoS,2,1,0,
"the influence of el nino southern oscillation on urban heat island formation at tropical city: case of kuching city, sarawak","Kemarau, RA",GEOGRAFIA-MALAYSIAN JOURNAL OF SOCIETY & SPACE,2021,10.17576/geo-2021-1704-20,WoS,2,1,0,
addressing the escalating heat index in the philippines: a call to action,"Rogayan, DV Jr",JOURNAL OF PUBLIC HEALTH,2024,10.1093/pubmed/fdae073,WoS,2,1,0,
"climate change and human health in vietnam: a systematic review and additional analyses on current impacts, future risk, and adaptation","Tran, NQL",LANCET REGIONAL HEALTH-WESTERN PACIFIC,2023,10.1016/j.lanwpc.2023.100943,WoS,2,1,0,climate change in vietnam
climate change and population health in singapore: a systematic review,"Aik, J",LANCET REGIONAL HEALTH-WESTERN PACIFIC,2023,10.1016/j.lanwpc.2023.100947,WoS,2,1,0,climate change in singapore
the effects of maximum ambient temperature and heatwaves on dengue infections in the tropical city-state of singapore – a time series analysis,Seah A.; Aik J.; Ng L.-C.; Tam C.C.,Science of the Total Environment,2021,10.1016/j.scitotenv.2021.145117,Scopus,2,1,0,
the impact of extreme heat on older regional and rural australians: a systematic review,"Harvey, G",AUSTRALIAN JOURNAL OF RURAL HEALTH,2024,10.1111/ajr.13094,WoS,1,1,0,
systematic review of the efficacy of data-driven urban building energy models during extreme heat in cities: current trends and future outlook,"Mondal, N",BUILDING SIMULATION,2024,10.1007/s12273-024-1112-y,WoS,1,1,0,urban planning
extreme heat vulnerability assessment in tropical region: a case study in malaysia,"Kamal, NIA",CLIMATE AND DEVELOPMENT,2022,10.1080/17565529.2021.1937030,WoS,1,1,1,EHVI(Exrteme Heat Vulnerability Index) in Malaysia
impact of extreme weather events on mental health in south and southeast asia: a,Islam MA,Environmental research,2024,10.1016/j.envres.2024.118436,PubMed,1,1,0,
spatio-temporal distribution of heat index and land cover change in tropical cities of southeast asia,Nucifera F.; Riasasi W.; Ichii K.,"ICOIACT 2022 - 5th International Conference on Information and Communications Technology: A New Way to Make AI Useful for Everyone in the New Normal Era, Proceeding",2022,10.1109/ICOIACT55506.2022.9972123,Scopus,1,1,1,HI and LandCover
machine learning of key variables impacting extreme precipitation in various regions of the contiguous united states,"Lin, XM",JOURNAL OF ADVANCES IN MODELING EARTH SYSTEMS,2023,10.1029/2022MS003334,WoS,1,1,0,
decadal background for active extreme drought episodes in the decade of 2010-19 over southeastern mainland asia,"Wang, L",JOURNAL OF CLIMATE,2022,10.1175/JCLI-D-21-0561.1,WoS,1,1,0,
"heatwaves and dengue outbreaks in hanoi, vietnam: new evidence on early warning","Cheng, J",PLOS NEGLECTED TROPICAL DISEASES,2020,10.1371/journal.pntd.0007997,WoS,1,1,0,
"ambient thermal comfort analysis for four major cities in thailand, cambodia, and laos: variability, trend, factor attribution, and large-scale climatic influence","Chea, K",SCIENCEASIA,2021,10.2306/scienceasia1513-1874.2021.067,WoS,1,1,0,
"assessment of temperature extremes and climate change impacts in singapore, 1982-2018","Jiang, RG",SINGAPORE JOURNAL OF TROPICAL GEOGRAPHY,2021,10.1111/sjtg.12384,WoS,1,1,?,
the future extreme temperature under rcp8.5 reduces the yields of major crops in northern peninsular of southeast asia,Amnuaylojaroen T.; Parasin N.,Scientific World Journal,2022,10.1155/2022/1410849,Scopus,1,1,1,
variability of heatwaves across vietnam in recent decades,"Ly, PT",VIETNAM JOURNAL OF EARTH SCIENCES,2023,10.15625/2615-9783/19057,WoS,1,1,1,Heatwave in Vietnam
