"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Yang S.; Yang D.; Zhao B.; Ma T.; Lu W.; Santisirisomboon J.","Yang, Shuyu (57211335658); Yang, Dawen (7404801403); Zhao, Baoxu (57211330760); Ma, Teng (57394488600); Lu, Weiwei (57220644338); Santisirisomboon, Jerasorn (7801488987)","57211335658; 7404801403; 57211330760; 57394488600; 57220644338; 7801488987","Future Changes in High and Low Flows under the Impacts of Climate and Land Use Changes in the Jiulong River Basin of Southeast China","2022","Atmosphere","13","2","150","","","","9","10.3390/atmos13020150","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123053616&doi=10.3390%2fatmos13020150&partnerID=40&md5=485bdc8e73a65ac4fe5ebb11c837da40","State Key Laboratory of Hydroscience and Engineering, Department of Hydraulic Engineering, Tsinghua University, Beijing, 100084, China; China Three Gorges Corporation, Beijing, 100038, China; Division of Energy Engineering, Faculty of Engineering, Ramkhamhaeng University, Bangkok, 10700, Thailand","Yang S., State Key Laboratory of Hydroscience and Engineering, Department of Hydraulic Engineering, Tsinghua University, Beijing, 100084, China; Yang D., State Key Laboratory of Hydroscience and Engineering, Department of Hydraulic Engineering, Tsinghua University, Beijing, 100084, China; Zhao B., State Key Laboratory of Hydroscience and Engineering, Department of Hydraulic Engineering, Tsinghua University, Beijing, 100084, China; Ma T., State Key Laboratory of Hydroscience and Engineering, Department of Hydraulic Engineering, Tsinghua University, Beijing, 100084, China; Lu W., China Three Gorges Corporation, Beijing, 100038, China; Santisirisomboon J., Division of Energy Engineering, Faculty of Engineering, Ramkhamhaeng University, Bangkok, 10700, Thailand","D. Yang; State Key Laboratory of Hydroscience and Engineering, Department of Hydraulic Engineering, Tsinghua University, Beijing, 100084, China; email: yangdw@tsinghua.edu.cn","","MDPI","20734433","","","","English","Atmosphere","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85123053616"
"Seah A.; Aik J.; Ng L.-C.; Tam C.C.","Seah, Annabel (57221461962); Aik, Joel (57200939405); Ng, Lee-Ching (35574464200); Tam, Clarence C. (7201444738)","57221461962; 57200939405; 35574464200; 7201444738","The effects of maximum ambient temperature and heatwaves on dengue infections in the tropical city-state of Singapore – A time series analysis","2021","Science of the Total Environment","775","","145117","","","","17","10.1016/j.scitotenv.2021.145117","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101116277&doi=10.1016%2fj.scitotenv.2021.145117&partnerID=40&md5=9fbe0c522b4110b5ad46b63806705adc","Environmental Health Institute, National Environment Agency, 40 Scotts Road, Environment Building, #13-00, Singapore, 228231, Singapore; Pre-hospital & Emergency Research Centre, Duke-NUS Medical School, 8 College Road, Singapore, 169857, Singapore; Saw Swee Hock School of Public Health, National University of Singapore and National University Health System, 12 Science Drive 2, #10-01, Singapore, 117549, Singapore","Seah A., Environmental Health Institute, National Environment Agency, 40 Scotts Road, Environment Building, #13-00, Singapore, 228231, Singapore; Aik J., Environmental Health Institute, National Environment Agency, 40 Scotts Road, Environment Building, #13-00, Singapore, 228231, Singapore, Pre-hospital & Emergency Research Centre, Duke-NUS Medical School, 8 College Road, Singapore, 169857, Singapore; Ng L.-C., Environmental Health Institute, National Environment Agency, 40 Scotts Road, Environment Building, #13-00, Singapore, 228231, Singapore; Tam C.C., Saw Swee Hock School of Public Health, National University of Singapore and National University Health System, 12 Science Drive 2, #10-01, Singapore, 117549, Singapore","J. Aik; Environmental Health Institute, National Environment Agency, Singapore, 40 Scotts Road, Environment Building, #13-00, 228231, Singapore; email: joel_aik@nea.gov.sg","","Elsevier B.V.","00489697","","STEVA","33618312","English","Sci. Total Environ.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85101116277"
"Aghamohammadi N.; Ramakreshnan L.; Fong C.S.; Sulaiman N.M.","Aghamohammadi, Nasrin (24075451500); Ramakreshnan, Logaraj (57199145353); Fong, Chng Saun (57199145597); Sulaiman, Nik Meriam (6603772490)","24075451500; 57199145353; 57199145597; 6603772490","Urban Heat Island, Contributing Factors, Public Responses and Mitigation Approaches in the Tropical Context of Malaysia","2021","Advances in 21st Century Human Settlements","","","","107","121","14","4","10.1007/978-981-33-4050-3_5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097894780&doi=10.1007%2f978-981-33-4050-3_5&partnerID=40&md5=a3ed107b33b82f1160a2327443f5f597","Centre for Epidemiology and Evidence-Based Practice, Department of Social and Preventive Medicine, Faculty of Medicine, University of Malaya, Kuala Lumpur, 50603, Malaysia; Department of Social and Preventive Medicine, Faculty of Medicine, Centre for Occupational and Environmental Health, University of Malaya, Kuala Lumpur, 50603, Malaysia; Institute for Advanced Studies, University of Malaya, Kuala Lumpur, 50603, Malaysia; Department of Chemical Engineering, Faculty of Engineering, University of Malaya, Kuala Lumpur, 50603, Malaysia","Aghamohammadi N., Centre for Epidemiology and Evidence-Based Practice, Department of Social and Preventive Medicine, Faculty of Medicine, University of Malaya, Kuala Lumpur, 50603, Malaysia; Ramakreshnan L., Department of Social and Preventive Medicine, Faculty of Medicine, Centre for Occupational and Environmental Health, University of Malaya, Kuala Lumpur, 50603, Malaysia, Institute for Advanced Studies, University of Malaya, Kuala Lumpur, 50603, Malaysia; Fong C.S., Department of Social and Preventive Medicine, Faculty of Medicine, Centre for Occupational and Environmental Health, University of Malaya, Kuala Lumpur, 50603, Malaysia, Institute for Advanced Studies, University of Malaya, Kuala Lumpur, 50603, Malaysia; Sulaiman N.M., Department of Social and Preventive Medicine, Faculty of Medicine, Centre for Occupational and Environmental Health, University of Malaya, Kuala Lumpur, 50603, Malaysia, Department of Chemical Engineering, Faculty of Engineering, University of Malaya, Kuala Lumpur, 50603, Malaysia","N. Aghamohammadi; Centre for Epidemiology and Evidence-Based Practice, Department of Social and Preventive Medicine, Faculty of Medicine, University of Malaya, Kuala Lumpur, 50603, Malaysia; email: nasrin@ummc.edu.my","","Springer","21982546","","","","English","Adv. 21st Century Human Settl.","Book chapter","Final","","Scopus","2-s2.0-85097894780"
"Hendrawan V.S.A.; Mawandha H.G.; Sakti A.D.; Karlina; Andika N.; Shahid S.; Jayadi R.","Hendrawan, Vempi Satriya Adi (57221733330); Mawandha, Hanggar Ganara (57203167863); Sakti, Anjar Dimara (56943543400); Karlina (58519882600); Andika, Neil (57227691500); Shahid, Shamsuddin (57195934440); Jayadi, Rachmad (6506972789)","57221733330; 57203167863; 56943543400; 58519882600; 57227691500; 57195934440; 6506972789","Future exposure of rainfall and temperature extremes to the most populous island of Indonesia: A projection based on CORDEX simulation","2024","International Journal of Climatology","","","","","","","0","10.1002/joc.8537","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195599522&doi=10.1002%2fjoc.8537&partnerID=40&md5=b10a7c75016302250fd807962d0b24cd","Department of Civil and Environmental Engineering, Universitas Gadjah Mada, Yogyakarta, Indonesia; Department of Agricultural Engineering and Biosystem, Universitas Gadjah Mada, Yogyakarta, Indonesia; Geographic Information Sciences and Technology Research Group, Faculty of Earth Sciences and Technology, Institut Teknologi Bandung, Bandung, Indonesia; Center for Remote Sensing, Institut Teknologi Bandung, Bandung, Indonesia; Department of Water and Environmental Engineering, Universiti Teknologi Malaysia, Johor, Malaysia","Hendrawan V.S.A., Department of Civil and Environmental Engineering, Universitas Gadjah Mada, Yogyakarta, Indonesia; Mawandha H.G., Department of Agricultural Engineering and Biosystem, Universitas Gadjah Mada, Yogyakarta, Indonesia; Sakti A.D., Geographic Information Sciences and Technology Research Group, Faculty of Earth Sciences and Technology, Institut Teknologi Bandung, Bandung, Indonesia, Center for Remote Sensing, Institut Teknologi Bandung, Bandung, Indonesia; Karlina, Department of Civil and Environmental Engineering, Universitas Gadjah Mada, Yogyakarta, Indonesia; Andika N., Department of Civil and Environmental Engineering, Universitas Gadjah Mada, Yogyakarta, Indonesia; Shahid S., Department of Water and Environmental Engineering, Universiti Teknologi Malaysia, Johor, Malaysia; Jayadi R., Department of Civil and Environmental Engineering, Universitas Gadjah Mada, Yogyakarta, Indonesia","V.S.A. Hendrawan; Department of Civil and Environmental Engineering, Universitas Gadjah Mada, Yogyakarta, Indonesia; email: vempi@ugm.ac.id","","John Wiley and Sons Ltd","08998418","","IJCLE","","English","Int. J. Climatol.","Article","Article in press","","Scopus","2-s2.0-85195599522"
"Gómez C.E.; Gori A.; Weinnig A.M.; Hallaj A.; Chung H.J.; Cordes E.E.","Gómez, Carlos E. (56435351300); Gori, Andrea (14018179800); Weinnig, Alexis M. (57214683176); Hallaj, Adam (57214683197); Chung, Hee Jin (57694210500); Cordes, Erik E. (7003967049)","56435351300; 14018179800; 57214683176; 57214683197; 57694210500; 7003967049","Natural variability in seawater temperature compromises the metabolic performance of a reef-forming cold-water coral with implications for vulnerability to ongoing global change","2022","Coral Reefs","41","4","","1225","1237","12","8","10.1007/s00338-022-02267-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130127771&doi=10.1007%2fs00338-022-02267-2&partnerID=40&md5=f09fc054ac6eb195f513f04880f11744","Department of Biology, Temple University, 1900 N 12th Street, Philadelphia, 19122, PA, United States; Institut de Ciències del Mar, Consejo Superior de Investigaciones Científicas, Barcelona, Spain; Departament de Biologia Evolutiva, Ecologia I Ciències Ambientals, Universitat de Barcelona, Gran Via de Les Corts Catalanes, 585, Barcelona, 08007, Spain; Universidad de los Andes – PUJ, Laboratorio de Biología Molecular Marina-BIOMMAR, Universidad de los Andes, Cr 1 No. 18A-12, Bogotá, Colombia; U.S. Geological Survey, Eastern Ecological Science Center at the Leetown Research Laboratory, 11649 Leetown Road, Kearneysville, 25430, WV, United States","Gómez C.E., Department of Biology, Temple University, 1900 N 12th Street, Philadelphia, 19122, PA, United States, Universidad de los Andes – PUJ, Laboratorio de Biología Molecular Marina-BIOMMAR, Universidad de los Andes, Cr 1 No. 18A-12, Bogotá, Colombia; Gori A., Institut de Ciències del Mar, Consejo Superior de Investigaciones Científicas, Barcelona, Spain, Departament de Biologia Evolutiva, Ecologia I Ciències Ambientals, Universitat de Barcelona, Gran Via de Les Corts Catalanes, 585, Barcelona, 08007, Spain; Weinnig A.M., Department of Biology, Temple University, 1900 N 12th Street, Philadelphia, 19122, PA, United States, U.S. Geological Survey, Eastern Ecological Science Center at the Leetown Research Laboratory, 11649 Leetown Road, Kearneysville, 25430, WV, United States; Hallaj A., Department of Biology, Temple University, 1900 N 12th Street, Philadelphia, 19122, PA, United States; Chung H.J., Department of Biology, Temple University, 1900 N 12th Street, Philadelphia, 19122, PA, United States; Cordes E.E., Department of Biology, Temple University, 1900 N 12th Street, Philadelphia, 19122, PA, United States","C.E. Gómez; Department of Biology, Temple University, Philadelphia, 1900 N 12th Street, 19122, United States; email: cegom.s@gmail.com","","Springer Science and Business Media Deutschland GmbH","07224028","","CORFD","","English","Coral Reefs","Article","Final","","Scopus","2-s2.0-85130127771"
"Khongdee N.; Hilger T.; Pansak W.; Cadisch G.","Khongdee, Nuttapon (57214227993); Hilger, Thomas (6603865658); Pansak, Wanwisa (58327045300); Cadisch, Georg (7003367380)","57214227993; 6603865658; 58327045300; 7003367380","Early planting and relay cropping: Pathways to cope with heat and drought?","2021","Journal of Agriculture and Rural Development in the Tropics and Subtropics","122","1","","61","71","10","6","10.17170/kobra-202104133652","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105945845&doi=10.17170%2fkobra-202104133652&partnerID=40&md5=05f3dd3814653d2fd7400aab9767f1e3","Institute of Agricultural Sciences in the Tropics (Hans-Ruthenberg-Institute), University of Hohenheim, Stuttgart, Germany; Department of Agricultural Science, Faculty of Agriculture, Natural resources and Environment, Naresuan University, Phitsanulok, Thailand","Khongdee N., Institute of Agricultural Sciences in the Tropics (Hans-Ruthenberg-Institute), University of Hohenheim, Stuttgart, Germany; Hilger T., Institute of Agricultural Sciences in the Tropics (Hans-Ruthenberg-Institute), University of Hohenheim, Stuttgart, Germany; Pansak W., Department of Agricultural Science, Faculty of Agriculture, Natural resources and Environment, Naresuan University, Phitsanulok, Thailand; Cadisch G., Institute of Agricultural Sciences in the Tropics (Hans-Ruthenberg-Institute), University of Hohenheim, Stuttgart, Germany","T. Hilger; Institute of Agricultural Sciences in the Tropics (Hans-Ruthenberg-Institute), University of Hohenheim, Stuttgart, Germany; email: thomas.hilger@uni-hohenheim.de","","Kassel University Press GmbH","16129830","","","","English","J. Agric. Rural Dev. Trop. Subtrop.","Article","Final","","Scopus","2-s2.0-85105945845"
"Nucifera F.; Riasasi W.; Ichii K.","Nucifera, Fitria (57211206457); Riasasi, Widiyana (57201777277); Ichii, Kazuhito (7003280188)","57211206457; 57201777277; 7003280188","Spatio-temporal Distribution of Heat Index and Land Cover Change in Tropical Cities of Southeast Asia","2022","ICOIACT 2022 - 5th International Conference on Information and Communications Technology: A New Way to Make AI Useful for Everyone in the New Normal Era, Proceeding","","","","226","231","5","1","10.1109/ICOIACT55506.2022.9972123","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145357164&doi=10.1109%2fICOIACT55506.2022.9972123&partnerID=40&md5=a8156ce5d871fc88d700339bedcd3470","Universitas Amikom Yogyakarta, Department of Geography, Yogyakarta, Indonesia; Center for Environmental Remote, Sensing (CEReS), Chiba University, Chiba, Japan","Nucifera F., Universitas Amikom Yogyakarta, Department of Geography, Yogyakarta, Indonesia; Riasasi W., Universitas Amikom Yogyakarta, Department of Geography, Yogyakarta, Indonesia; Ichii K., Center for Environmental Remote, Sensing (CEReS), Chiba University, Chiba, Japan","","","Institute of Electrical and Electronics Engineers Inc.","","978-166545140-6","","","English","ICOIACT - Int. Conf. Inf. Commun. Technol.: A New Way Make AI Useful Everyone New Norm. Era, Proceeding","Conference paper","Final","","Scopus","2-s2.0-85145357164"
"Abubakar A.; Ishak M.Y.; Makmom A.A.","Abubakar, Ahmed (57216349230); Ishak, Mohd Yusoff (56861900200); Makmom, Abdullah Ahmad (57193067284)","57216349230; 56861900200; 57193067284","Impacts of and adaptation to climate change on the oil palm in Malaysia: a systematic review","2021","Environmental Science and Pollution Research","28","39","","54339","54361","22","20","10.1007/s11356-021-15890-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112494177&doi=10.1007%2fs11356-021-15890-3&partnerID=40&md5=87234e58734df71fbd066766383fab5c","Faculty of Forestry and Environment, Universiti Putra Malaysia, UPM, Selangor, 43400, Serdang, Malaysia","Abubakar A., Faculty of Forestry and Environment, Universiti Putra Malaysia, UPM, Selangor, 43400, Serdang, Malaysia; Ishak M.Y., Faculty of Forestry and Environment, Universiti Putra Malaysia, UPM, Selangor, 43400, Serdang, Malaysia; Makmom A.A., Faculty of Forestry and Environment, Universiti Putra Malaysia, UPM, Selangor, 43400, Serdang, Malaysia","A. Abubakar; Faculty of Forestry and Environment, Universiti Putra Malaysia, UPM, Selangor, 43400, Malaysia; email: abubakar8550483@gmail.com","","Springer Science and Business Media Deutschland GmbH","09441344","","ESPLE","34402002","English","Environ. Sci. Pollut. Res.","Review","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85112494177"
"Liu L.; Qin X.","Liu, Lilingjun (57756129500); Qin, Xiaosheng (7202154926)","57756129500; 7202154926","Analysis of heatwaves based on the universal thermal climate index and apparent temperature over mainland Southeast Asia","2023","International Journal of Biometeorology","67","12","","2055","2068","13","1","10.1007/s00484-023-02562-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174808661&doi=10.1007%2fs00484-023-02562-9&partnerID=40&md5=1ec7c1a3ed3d818a47932638d91a071f","School of Civil and Environmental Engineering, Nanyang Technological University, 50 Nanyang Avenue, Singapore, 639798, Singapore","Liu L., School of Civil and Environmental Engineering, Nanyang Technological University, 50 Nanyang Avenue, Singapore, 639798, Singapore; Qin X., School of Civil and Environmental Engineering, Nanyang Technological University, 50 Nanyang Avenue, Singapore, 639798, Singapore","X. Qin; School of Civil and Environmental Engineering, Nanyang Technological University, Singapore, 50 Nanyang Avenue, 639798, Singapore; email: xsqin@ntu.edu.sg","","Springer Science and Business Media Deutschland GmbH","00207128","","IJBMA","37878089","English","Int. J. Biometeorol.","Article","Final","","Scopus","2-s2.0-85174808661"
"Chew L.W.; Liu X.; Li X.-X.; Norford L.K.","Chew, Lup Wai (56911968100); Liu, Xuan (57195996026); Li, Xian-Xiang (54400276300); Norford, Leslie K. (7004632109)","56911968100; 57195996026; 54400276300; 7004632109","Interaction between heat wave and urban heat island: A case study in a tropical coastal city, Singapore","2021","Atmospheric Research","247","","105134","","","","76","10.1016/j.atmosres.2020.105134","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088377332&doi=10.1016%2fj.atmosres.2020.105134&partnerID=40&md5=987ffffaeebadf49d8291dca00601bf4","Center for Environmental Sensing and Modeling, Singapore-MIT Alliance for Research and Technology, Singapore; Institute of High Performance Computing, Agency for Science, Technology and Research, Singapore; School of Atmospheric Sciences, Sun Yat-sen University, China; Southern Marine Science and Engineering Guangdong Laboratory (Zhuhai), China; Guangdong Province Key Laboratory for Climate Change and Natural Disaster Studies, Sun Yat-sen University, China; Department of Architecture, Massachusetts Institute of Technology, United States","Chew L.W., Center for Environmental Sensing and Modeling, Singapore-MIT Alliance for Research and Technology, Singapore; Liu X., Institute of High Performance Computing, Agency for Science, Technology and Research, Singapore; Li X.-X., School of Atmospheric Sciences, Sun Yat-sen University, China, Southern Marine Science and Engineering Guangdong Laboratory (Zhuhai), China, Guangdong Province Key Laboratory for Climate Change and Natural Disaster Studies, Sun Yat-sen University, China; Norford L.K., Department of Architecture, Massachusetts Institute of Technology, United States","X.-X. Li; School of Atmospheric Sciences, Sun Yat-sen University, China; email: lixx98@mail.sysu.edu.cn","","Elsevier Ltd","01698095","","","","English","Atmos. Res.","Article","Final","","Scopus","2-s2.0-85088377332"
"Dong Z.; Wang L.; Sun Y.; Hu T.; Limsakul A.; Singhruck P.; Pimonsree S.","Dong, Zizhen (57218692506); Wang, Lin (36810780500); Sun, Ying (55737749900); Hu, Ting (55434269500); Limsakul, Atsamon (8780615700); Singhruck, Patama (23092354000); Pimonsree, Sittichai (25925358500)","57218692506; 36810780500; 55737749900; 55434269500; 8780615700; 23092354000; 25925358500","Heatwaves in Southeast Asia and Their Changes in a Warmer World","2021","Earth's Future","9","7","e2021EF001992","","","","60","10.1029/2021EF001992","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111446539&doi=10.1029%2f2021EF001992&partnerID=40&md5=0a88b735709619f756c699b04496230d","Center for Monsoon System Research, Institute of Atmospheric Physics, Chinese Academy of Sciences, Beijing, China; College of Earth and Planetary Sciences, University of Chinese Academy of Sciences, Beijing, China; National Climate Center, China Meteorological Administration, Beijing, China; Environmental Research and Training Center, Pathumthani, Thailand; Department of Marine Science, Faculty of Science, Chulalongkorn University, Bangkok, Thailand; Atmospheric Pollution and Climate Change Research Unit, School of Energy and Environment, University of Phayao, Phayao, Thailand","Dong Z., Center for Monsoon System Research, Institute of Atmospheric Physics, Chinese Academy of Sciences, Beijing, China, College of Earth and Planetary Sciences, University of Chinese Academy of Sciences, Beijing, China; Wang L., Center for Monsoon System Research, Institute of Atmospheric Physics, Chinese Academy of Sciences, Beijing, China, College of Earth and Planetary Sciences, University of Chinese Academy of Sciences, Beijing, China; Sun Y., National Climate Center, China Meteorological Administration, Beijing, China; Hu T., National Climate Center, China Meteorological Administration, Beijing, China; Limsakul A., Environmental Research and Training Center, Pathumthani, Thailand; Singhruck P., Department of Marine Science, Faculty of Science, Chulalongkorn University, Bangkok, Thailand; Pimonsree S., Atmospheric Pollution and Climate Change Research Unit, School of Energy and Environment, University of Phayao, Phayao, Thailand","L. Wang; Center for Monsoon System Research, Institute of Atmospheric Physics, Chinese Academy of Sciences, Beijing, China; email: wanglin@mail.iap.ac.cn","","John Wiley and Sons Inc","23284277","","","","English","Earth's Futur.","Article","Final","","Scopus","2-s2.0-85111446539"
"Zhou J.; Wu C.; Yeh P.J.-F.; Ju J.; Zhong L.; Wang S.; Zhang J.","Zhou, Jun (57936813600); Wu, Chuanhao (56158584500); Yeh, Pat J.-F. (7102669677); Ju, Jiali (57209022544); Zhong, Lulu (57936813500); Wang, Saisai (58148131400); Zhang, Junlong (57208428708)","57936813600; 56158584500; 7102669677; 57209022544; 57936813500; 58148131400; 57208428708","Anthropogenic climate change exacerbates the risk of successive flood-heat extremes: Multi-model global projections based on the Inter-Sectoral Impact Model Intercomparison Project","2023","Science of the Total Environment","889","","164274","","","","3","10.1016/j.scitotenv.2023.164274","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160212842&doi=10.1016%2fj.scitotenv.2023.164274&partnerID=40&md5=a07a7a34e99e445b407eb7ce6e796431","Department of Ecology, Jinan University, Guangzhou, 510632, China; Discipline of Civil Engineering, School of Engineering, Monash University, Malaysia Campus, Malaysia; School of Water Resources and Environment, China University of Geosciences, Beijing, 100083, China; School of Environment, Jinan University, Guangzhou, 511443, China; College of Geography and Environment, Shandong Normal University, Jinan, 250358, China","Zhou J., Department of Ecology, Jinan University, Guangzhou, 510632, China; Wu C., Department of Ecology, Jinan University, Guangzhou, 510632, China; Yeh P.J.-F., Discipline of Civil Engineering, School of Engineering, Monash University, Malaysia Campus, Malaysia; Ju J., School of Water Resources and Environment, China University of Geosciences, Beijing, 100083, China; Zhong L., School of Environment, Jinan University, Guangzhou, 511443, China; Wang S., School of Environment, Jinan University, Guangzhou, 511443, China; Zhang J., College of Geography and Environment, Shandong Normal University, Jinan, 250358, China","C. Wu; Department of Ecology, Jinan University, Guangzhou, 510632, China; email: wuch0907@jnu.edu.cn","","Elsevier B.V.","00489697","","STEVA","37209749","English","Sci. Total Environ.","Article","Final","","Scopus","2-s2.0-85160212842"
"Anripa N.; Kumar A.; Maharana P.; Dimri A.P.","Anripa, Nuralfin (58257719500); Kumar, A. (57307583000); Maharana, Pyarimohan (56004677200); Dimri, A.P. (6701757748)","58257719500; 57307583000; 56004677200; 6701757748","Climate change over Indonesia and its impact on nutmeg production: An analysis under high-resolution CORDEX-CORE regional simulation framework","2023","International Journal of Climatology","43","10","","4472","4490","18","1","10.1002/joc.8098","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159580497&doi=10.1002%2fjoc.8098&partnerID=40&md5=16f91c348ea08f335dcf842fa864e84d","Faculty of Medicine Ramathibodi Hospital, Mahidol University, Bangkok, Thailand; School of Ecology and Environment Studies, Nalanda University, Bihar, Rajgir, India; School of Management Studies, Nalanda University, Bihar, Rajgir, India; Department of Environmental Studies, DCAC, University of Delhi, New Delhi, India; School of Environmental Sciences, Jawaharlal Nehru University, New Delhi, India; Indian Institute of Geomagnetism, New Panvel, Navi Mumbai, India","Anripa N., Faculty of Medicine Ramathibodi Hospital, Mahidol University, Bangkok, Thailand, School of Ecology and Environment Studies, Nalanda University, Bihar, Rajgir, India; Kumar A., School of Management Studies, Nalanda University, Bihar, Rajgir, India; Maharana P., School of Ecology and Environment Studies, Nalanda University, Bihar, Rajgir, India, Department of Environmental Studies, DCAC, University of Delhi, New Delhi, India; Dimri A.P., School of Environmental Sciences, Jawaharlal Nehru University, New Delhi, India, Indian Institute of Geomagnetism, New Panvel, Navi Mumbai, India","P. Maharana; Department of Environmental Studies, DCAC, University of Delhi, New Delhi, India; email: maharanapyarimohan@gmail.com","","John Wiley and Sons Ltd","08998418","","IJCLE","","English","Int. J. Climatol.","Article","Final","","Scopus","2-s2.0-85159580497"
